"USERNAME","BUILD_TYPE","ORACLE_PROVIDED","PROFILE","TEMPORARY_TSPACE","DEFAULT_TSPACE","TS_QUOTA","NOTES"
"MDDATA","grbsdo","Y",,,,,"SDO,LCTR - Spatial - Oracle Locator (MDSYS, MDDATA)"
"MDSYS","grbsdo","Y",,,,,"SDO,LCTR - Spatial - Oracle Locator (MDSYS, MDDATA)"
